condition,approach,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,select,acquire,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,unreachable,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,-6.637648539755736,-6.637198604784011,-24.59323925318268,7.351386512997553e-08,0.005567694930615381,False,grasp: unreachable,1.3326189939980395
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,success,success,0.6584862200210396,91.6916989205727,4.980400170484955,7.1027130474513624,7.925785151083277,2.0833325676438403,1.8131001492215637,2.121070217527297,0.6082415309017336,3.64999999999972,0,,nan,cut,1.8182098139405412,1.8157184392341152,2.1209641567038635,5.84121716691688e-08,0.006135258656338234,True,,1.538504564028699
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,success,success,0.6373267202173148,94.76010086404685,1.9982928771387076,29.060721062580516,17.274224355448126,4.942436023080483,9.691401855598553,4.86175336533505,0.611387428693413,3.7359999999997107,0,,nan,cut,10.238262544381483,10.080971706310837,5.54164349142816,-0.2509208599439314,0.09999615583528282,False,cut offset +10.2 / +10.1 mm,1.7389780749799684
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,13,777.7990124502887,14.04976422798892,0.5625833962730592,31.750890841805617,success,success,success,0.7095585791773527,116.81650016951717,3.3779249809569034,-27.830930501557,15.731958738474757,2.9686521360365417,3.949555843206304,3.0730572855932143,0.5805465517549615,3.713999999999713,0,,nan,cut,3.95724962047328,3.9572972743073254,3.0728976765426803,6.300699179529188e-08,0.005819099615192967,True,,1.6356882590334862
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,14,674.0780539077622,9.183354375620448,0.5561697157048568,9.12018670508955,success,success,slipped,0.6684173406167165,111.67899585550697,5.680953756716622,-5.253941747653373,15.745257186778119,3.57344987131361,10.251645638353486,3.5016595538032127,0.5854073634670122,3.64999999999972,0,,nan,cut,12.401064854408617,12.030296014149178,6.418287915045752,-0.5444270143137333,0.2834823675684633,False,orient: slipped,1.542675248987507
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,15,798.7099670858473,14.576243535966583,0.5848874329224438,9.088838469686026,success,success,success,0.6687999764911117,105.34624694973488,4.983350327981473,-7.051477598510095,8.455240004499691,1.69078860054658,3.628393861908247,1.760311027349705,0.5640288233554902,3.64999999999972,0,,nan,cut,-8.216697597412226,nan,0.5997435542077596,-50.34633761248429,64.53561998273828,True,,1.5045880289981142
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,16,745.0666802088937,11.211859465565851,0.4735195229922926,13.75976135602893,success,success,success,0.6840631086543371,107.29296290240939,5.042104223731747,-13.792395085046989,2.0980590244413895,-0.6494750201845971,-0.47543959714033135,-0.6549464654849281,0.5893617492666144,3.64999999999972,0,,nan,cut,1.382456216932837,1.3804670923945883,2.351526382374556,7.283482942770179e-09,0.006008465225847161,True,,1.662021439988166
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,17,711.8835922043452,10.092179175588702,0.45915290988116475,20.203570427175766,success,success,success,0.688492341211652,108.19051501282043,5.247047883838785,-19.460608866750512,2.113868128283871,-0.7886080549192803,-0.45539573307798453,-0.6549079194061845,0.5900010295124352,3.64999999999972,0,,nan,cut,0.2286297171497642,0.17219628773096352,0.9416661226456577,-0.22113321615586562,0.06475294892539082,True,,1.550225950020831
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,18,708.3157658469476,12.370518856145932,0.5003708585656533,-5.822706778753045,success,success,success,0.6471297869045662,118.20219006125622,5.4777756720211235,2.8799097695782527,1.859798293568501,0.2067491689157679,2.7976103668463095,0.10688923994547986,0.5353739341632506,3.64999999999972,0,,nan,cut,3.1148003292618687,3.3415872664316337,0.07251872667679589,-0.5920823657373159,0.2657330532710839,True,,1.811401195009239
B-sr20ia-jaw_geh6180-tilt0,B,sr20ia,jaw_geh6180,0.0,19,748.1451303704207,12.340706427625943,0.4165332031590194,-11.807740312381712,success,unreachable,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,-41.25311288755446,-41.25257527650311,-11.822967633122209,1.731044874267716e-07,0.0056438484766991115,False,grasp: unreachable,1.285134538949933
