condition,approach,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,select,acquire,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,success,success,0.7549227615389486,98.5847172161461,4.973110701171568,23.705866965075355,10.733688162073234,2.7621620492831456,0.7740968623074773,2.814576116666403,0.5951684875327647,3.8499999999995764,0,,nan,cut,10.439211971463747,10.438331125688316,13.431664638305964,3.860113101538041e-06,0.004149408019252829,False,cut offset +10.4 / +10.4 mm,1.733186900964938
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,success,success,0.7571390644635221,91.21796627311552,5.003339896866299,5.5169967777031035,0.6033491101959517,0.16104038901499731,-0.30355695798164883,0.1546102710863856,0.6546178137402696,3.8499999999995764,0,,nan,cut,-0.3046529111417895,-0.30657816691004314,0.1545004391864947,6.526690311865897e-08,0.006053425155310459,True,,1.7839349419809878
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,success,success,0.7397935255002837,92.12537085324426,4.964842989674478,28.816778913836636,15.228447734609931,4.429270013750612,4.851817029078914,4.554290445860182,0.6822649044099746,3.9319999999995674,0,,nan,cut,5.420233326462187,5.161695738448269,5.3329458242878545,-0.49053156530308245,0.3183837279176317,False,cut angle +5.3 deg,1.9663199099595658
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,13,777.7990124502887,14.04976422798892,0.5625833962730592,31.750890841805617,success,success,success,0.7724374553820205,116.08391356527835,5.013027824484428,-27.645702124978918,14.436639180351245,3.5319288433917553,5.590248534556169,3.6158937155001873,0.6695927189315845,3.9119999999995696,0,,nan,cut,5.564782046665551,5.5643254610696635,3.620903765435685,4.896741276481308e-08,0.005796820187041156,True,,2.011974024993833
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,14,674.0780539077622,9.183354375620448,0.5561697157048568,9.12018670508955,success,success,misaligned,0.7508069248915444,107.05823742044632,4.986919857087657,-6.982886720853646,3.741457074460395,1.247117304197688,13.7074933681621,-2.0039943389021024,0.6420139035646653,3.8499999999995764,0,,nan,cut,13.678383003812577,13.67805718459586,2.9125826576809493,-3.063104430408305e-08,0.0064032610025622945,False,orient: misaligned,2.002130170003511
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,15,798.7099670858473,14.576243535966583,0.5848874329224438,9.088838469686026,success,success,success,0.7571458831352623,105.15516304214988,4.987340248167937,-7.023102307182472,5.349688803372046,1.2671846272345881,0.2643295434986148,1.2087466249015082,0.6214199483806166,3.8499999999995764,0,,nan,cut,-10.223701369720617,nan,0.9754798746824525,-51.54331508448084,69.06191774354976,False,cut offset -10.2 / +nan mm,2.10595605103299
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,16,745.0666802088937,11.211859465565851,0.4735195229922926,13.75976135602893,success,success,success,0.7727467556301489,110.63432644416689,5.000907449620229,-11.586161333722208,3.289151268090241,-0.6378315509292414,0.7799273913330629,-0.512251492883156,0.658842486397334,3.8499999999995764,0,,nan,cut,3.102376748527036,3.100395830306635,2.2948384841556733,8.130286543381751e-09,0.005997607520011772,True,,1.7724783860030584
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,17,711.8835922043452,10.092179175588702,0.45915290988116475,20.203570427175766,success,success,success,0.7704614800827448,108.0688171866419,4.98418077691265,-19.00731539783129,4.541063342604803,-0.9573518572460233,2.6198280340032634,-0.9040797721840008,0.6486142324376991,3.8499999999995764,0,,nan,cut,3.2179466632342724,3.1335225787496035,0.4955224709238916,-0.3021679362423507,0.09484336459285218,True,,1.7149302369798534
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,18,708.3157658469476,12.370518856145932,0.5003708585656533,-5.822706778753045,success,success,misaligned,0.7510546419748022,115.8229739665678,4.975890154117368,5.032409290608351,0.8437861041932583,-0.02322606741019657,10.535738050578642,-2.4146290052674297,0.5981921773829236,3.8499999999995764,0,,nan,cut,11.712707401949018,28.27653238708522,-2.280125628101862,-12.154738611109616,15.328647758468879,False,orient: misaligned,1.9236260710167699
B-ur20-jaw_geh6180-tilt0,B,ur20,jaw_geh6180,0.0,19,748.1451303704207,12.340706427625943,0.4165332031590194,-11.807740312381712,success,success,success,0.7656126643947935,94.70577334925726,4.972075575314316,10.065615622826115,0.23745583081791685,0.36621450778244424,-0.33837505788872346,0.21215769874322513,0.5953240934983108,3.8499999999995764,0,,nan,cut,-0.3525690879504495,-0.3527545097800622,0.32939628594618653,2.5095657825338844e-08,0.005809072739344432,True,,1.7766677989857271
