condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,2.5975911687114657,success,nan,nan,nan,1.0,0.7903383687916037,116.24397619457345,4.563621023796816,-7.216882699017634,3.63185571968089,-0.765361392330166,0.27802230613746537,-0.834210147467466,0.7605076807838885,3.99999999999956,0,,nan,cut,0.127076917402269,0.12656276562134083,-0.5340425094916215,1.248734112373735e-08,0.005824331953621233,True,,9.163182059011888
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,0.5964017364550387,success,nan,nan,nan,1.0,0.7719695638365682,96.59777665113575,4.83599491308806,-24.370500689019696,3.1275199731518564,0.5975745982379354,2.8021700450905627,0.9025908405537414,0.7587386256243424,4.007999999999559,0,,nan,cut,7.705253154286995,7.703933508414029,9.006440132992227,-1.5956003170466557e-08,0.005522215408137254,False,cut angle +9.0 deg,10.143006130005233
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,2.4094465914006475,success,nan,nan,nan,1.0,0.7784225060296621,116.5104840187209,4.917568892000235,13.78565461377993,0.6741708877467874,0.2027336265047633,0.8161058650679454,0.26436560967881384,0.7387725757713035,3.99999999999956,0,,nan,cut,0.658089148465657,0.657223433869869,1.1658656295816188,1.9102767638994205e-08,0.005869993798165703,True,,10.463678340020124
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,0.3698911480848834,success,nan,nan,nan,1.0,0.7824297076904375,113.3290156639932,4.850375718009614,-18.51035090713425,5.209138052193273,-0.7085145086991713,4.017411835798596,-0.6216332641663441,0.7541176987035488,3.99999999999956,0,,nan,cut,4.439810240871034,4.440102070850049,0.8093800028119046,9.395696940061336e-08,0.005822321491136488,True,,8.786568800976966
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,1.5817707883651508,success,nan,nan,nan,1.0,0.7694472991092999,90.4868239710856,4.949300397924072,-27.734815613657773,5.187199952539416,1.2016239949250416,3.9973704949999025,1.4830621300075697,0.7680662547099755,4.063999999999552,0,,nan,cut,3.988812462978164,3.9870043297630664,1.4995603072256323,7.825495260478975e-08,0.006015113645934798,True,,9.225345031009056
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,3.5735778955403767,success,nan,nan,nan,1.0,0.7746826084258773,111.68405139832902,4.657571302129959,17.217255939830864,1.9544457059309503,-0.45714889291523614,0.8255676977077797,-0.5145211484193452,0.7790098820064556,4.009999999999559,0,,nan,cut,2.862134216789103,2.833845129592949,3.0469500951497177,-0.07343563447230483,0.05905227364315128,True,,9.314602693950292
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,4.653232702731059,success,nan,nan,nan,1.0,0.7869726647399496,123.78785444046977,4.695938848908732,0.5247417707786486,1.3120215175920045,-0.1777992836758483,0.24474472469473985,-0.3629734024765142,0.782866138954808,3.99999999999956,0,,nan,cut,0.22560539382454614,0.22472939309470252,-0.36235493524260237,9.659382734260878e-09,0.005887688349053437,True,,10.837083257967606
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,2.2034848230772006,success,nan,nan,nan,1.0,0.7851767560514147,88.79767575628152,4.648281711041591,31.60149668096493,1.6953507989926182,-0.21965007566300596,0.891401113100293,-0.35539184278103586,0.8102779389513978,4.127999999999545,0,,nan,cut,0.3488499849804705,-0.052224163529290824,8.446257930684343,-0.40391732406369407,0.2818221615223557,False,cut angle +8.4 deg,9.523918054997921
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,success,success,1.8292063043629792,success,nan,nan,nan,1.0,0.801743949926761,94.59826023159002,4.939095591278697,23.81616984422506,6.0415401541083975,1.9698826530937967,0.7805098059074644,2.006080767304019,0.7414105995999252,3.99999999999956,0,,nan,cut,10.146855180710457,9.571410473239395,13.520965751844802,-0.48009784684396567,0.20340757152287425,False,cut offset +10.1 / +9.6 mm,9.93945830798475
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,3.828763822748527,success,nan,nan,nan,1.0,0.7841458849793358,89.68731817141358,4.883512518165656,2.0124723128648214,2.185551786527858,-0.49146121654049163,0.4808919423962832,-0.6496997823284174,0.7796047274268297,3.99999999999956,0,,nan,cut,0.47942576594517394,0.47781791118112205,-0.6499212426003522,5.69736322311803e-08,0.0060015681225560604,True,,8.37151410302613
