condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,success,success,27.150866250479673,success,0.7890616836813137,99.23653061239145,4.950529885690669,24.101209208876387,4.766341947902024,1.799707699822321,1.2377828443007888,1.7243388110284266,0.5897857084249759,3.851999999999576,0,,nan,cut,10.450851923515913,10.416916870270299,13.499149802728441,-0.03438114912562981,0.010004288487864423,False,cut offset +10.5 / +10.4 mm,6.709351337980479
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,12.463420602279509,success,0.7670031952336286,91.77591880320422,4.971601805815684,2.6881654132301005,1.605791906213247,-0.3483974374268898,0.5089481366415682,-0.5338815011835959,0.6523236292788892,3.8499999999995764,0,,nan,cut,0.5075224850565885,0.5058249308964591,-0.5341240817178332,6.704634712962545e-08,0.006021280275203021,True,,6.6244804370217025
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,0.0,0.0,0.0,0.0,success,success,success,29.904874228645834,success,0.7737960225165883,95.85811959196856,4.748208474584903,28.443132931128073,8.042623034619801,2.9600315367448378,6.6311650941794085,3.1306783783206362,0.6521145595062874,3.925999999999568,0,,nan,cut,7.027541853999786,7.028010938472995,3.7989892248531443,-3.1062340241108226e-08,0.006694240010051606,True,,6.887872040970251
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,13,777.7990124502887,14.04976422798892,0.5625833962730592,31.750890841805617,success,0.0,0.0,0.0,0.0,success,success,success,23.68943565606866,success,0.74809961585357,117.01633206868763,5.000592793649172,-29.901886796154514,4.99993023506376,1.2642663944129742,3.5868433643074518,1.4364387061650183,0.6768340002832723,3.9499999999995654,0,,nan,cut,3.5531937283981296,3.5518911236672723,1.4422039351000104,1.0014612525524174e-08,0.005921468040739308,True,,6.916328046005219
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,14,674.0780539077622,9.183354375620448,0.5561697157048568,9.12018670508955,success,0.0,0.0,0.0,0.0,success,success,success,29.310501598453797,success,0.7491504092720879,111.0432407867153,5.027161459227769,-6.423936636577828,5.106984567047425,2.4492481350877155,3.502854168697639,1.676861098909719,0.6636214849495458,3.8499999999995764,0,,nan,cut,5.269115433599147,5.269580741127545,4.80612715166372,-2.0291506312300557e-08,0.006014125639961192,True,,6.583870344038587
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,15,798.7099670858473,14.576243535966583,0.5848874329224438,9.088838469686026,success,0.0,0.0,0.0,0.0,success,success,success,24.617360174628292,success,0.7563351733873237,107.45492941327245,4.970313446644559,-7.5189269170235615,3.742067416050264,1.3062786786876963,0.2366485962721765,1.2642807080716862,0.6185671531141991,3.8499999999995764,0,,nan,cut,-10.424155237396427,107.59982956072439,0.9519508076023404,-42.05956798666099,62.028380344837466,False,cut offset -10.4 / +107.6 mm,7.234483493026346
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,16,745.0666802088937,11.211859465565851,0.4735195229922926,13.75976135602893,success,0.0,0.0,0.0,0.0,success,success,success,20.81445707404297,success,0.7660022275269758,111.49885507292333,4.985218109710865,-8.704833814952757,0.33901240667420274,0.1280694165039306,1.0499335215646555,0.06401875124940094,0.6885782692643759,3.8499999999995764,0,,nan,cut,1.6350141573059918,1.6335886222727525,1.1262381953523908,3.6108722798686775e-08,0.005919812420198609,True,,6.733981070981827
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,17,711.8835922043452,10.092179175588702,0.45915290988116475,20.203570427175766,success,0.0,0.0,0.0,0.0,success,success,success,6.452296396240728,success,0.7564646940559094,107.77343849266211,4.774629412519826,-18.346983766490276,5.056501226462989,-1.3337228278692788,2.257719131877084,-1.2420501591296271,0.6675677575014013,3.8499999999995764,0,,nan,cut,2.6115029809380963,2.453910296923878,-0.1778914093930737,-1.2433154473073864,0.1590119418473383,True,,7.15123391704401
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,18,708.3157658469476,12.370518856145932,0.5003708585656533,-5.822706778753045,success,0.0,0.0,0.0,0.0,success,success,success,21.62494534905857,success,0.7652210614628847,115.04944022300764,5.013606434105755,3.385277540458382,0.8377072862561277,-0.0022786487212502716,0.9754071931037112,-0.2960473110155261,0.5799334826494325,3.8499999999995764,0,,nan,cut,1.7445513045168948,2.3605028508968395,-0.6035751642671776,-0.9507057811096822,0.26741671575591064,True,,6.531882960989606
B-ur20-jaw_geh6180-tilt15-truth,B,truth,ur20,jaw_geh6180,14.999999999999998,19,748.1451303704207,12.340706427625943,0.4165332031590194,-11.807740312381712,success,0.0,0.0,0.0,0.0,success,success,success,26.04594893193786,success,0.7856862663149672,95.36682525602673,4.957022099026487,8.792810672424988,0.28040249605707657,0.23246139416666,0.5773121259533831,0.0328341514732761,0.5854555958221144,3.8499999999995764,0,,nan,cut,0.5703560774693583,0.5701961859174709,0.16171341913893783,3.3300483848235376e-08,0.005808146827406666,True,,7.131466024031397
